,Name,Scopus ID,Coauthors
26,Stan Floresco,6701799130,"{'Rebecca Todd': 1, 'Trisha Chakrabarty': 1, 'Luke Clark': 1, 'Jason Snyder': 1, 'Kiran Soma': 1, 'Jeremy Seamans': 1, 'Anthony Phillips': 1, 'Liisa Galea': 1, 'Catharine Winstanley': 1, 'Victor Viau': 1, 'Steven Barnes': 1}"
27,Dean Foti,7004625596,"{'Ian Mackenzie': 1, 'Robin Hsiung': 1, 'David Li': 1, 'Wilfred Jefferies': 1, 'Joel Oger': 1}"
28,Sophia Frangou,7004549374,"{'Fidel Vila-Rodriguez': 1, 'Raymond Lam': 1, 'Lakshmi Yatham': 1, 'Trisha Chakrabarty': 1, 'Liisa Galea': 1, 'Rebecca Todd': 1, 'Luke Clark': 1}"
29,Liisa Galea,7004079043,"{'Teresa Liu-Ambrose': 1, 'Lara Boyd': 1, 'Robin Hsiung': 1, 'Sophia Frangou': 1, 'Stan Floresco': 1, 'Jehannine Austin': 1, 'Alasdair Barr': 1, 'Kiran Soma': 1, 'Cheryl Wellington': 1, 'Clare Beasley': 1, 'Victor Viau': 1}"
30,Debbie Giaschi,6603734160,"{'Alexander Rauscher': 1, 'Anthony Herdman': 1, 'Vesna Sossi': 1, 'Todd Woodward': 1, 'Lawrence Ward': 1, 'Max Cynader': 1}"
31,Julien Gibon,57191035886,{'Phil Barker': 1}
32,Daniel Goldowitz,7006144166,"{'Steven Miller': 1, 'Manon Ranger': 1, 'Ruth Grunau': 1, 'Douglas Allan': 1, 'Blair Leavitt': 1}"
33,Michael Gordon,7402800449,{'Ann-Marie Craig': 1}
34,Ruth Grunau,55666685100,"{'Steven Miller': 1, 'Naznin Virji-Babul': 1, 'Janet Werker': 1, 'Manon Ranger': 1, 'Daniel Goldowitz': 1, 'Adele Diamond': 1, 'Anthony Herdman': 1, 'Todd Woodward': 1, 'Judy Illes': 1}"
35,Kurt Haas,55554765000,"{'Shernaz Bamji': 1, 'Paul Pavlidis': 1, 'Douglas Allan': 1, 'Catharine Rankin': 1, 'Kota Mizumoto': 1}"
36,Ilker Hacihaliloglu,24467768400,{}
37,Amani Hariri,55659996000,{}
38,Sherri Hayden,7005268846,"{'Naznin Virji-Babul': 1, 'Teresa Liu-Ambrose': 1, 'Julie Robillard': 1, 'Lara Boyd': 1, 'Haakon Nygaard': 1, 'Robin Hsiung': 1, 'Judy Illes': 1}"
39,Anthony Herdman,6603313142,"{'Vesna Sossi': 1, 'Todd Woodward': 1, 'Debbie Giaschi': 1, 'Lawrence Ward': 1, 'Alexander Rauscher': 1, 'Ruth Grunau': 1, 'Steven Miller': 1, 'Naznin Virji-Babul': 1}"
