Name,Scholar ID,Document Count,Cited by,Cited by 5 years,h-index,h-index 5 years,i10-index,i10-index 5 years,,Coauthors,Affiliation,Warning
Tim H. Murphy,qJjM8hkAAAAJ,237,21192,7355,75,47,153,111,,"{'Andy Y. Shih': 9, 'Lynn A Raymond': 18, 'Craig E. Brown': 6, 'Jeffrey LeDue': 40, 'Snutch': 1, 'Yu Tian Wang': 4, 'Brian MacVicar': 3, 'Wolfram Tetzlaff': 2, 'Helge Rhodin': 2, 'Peter Cripton': 1, 'Mark S. Cembrowski': 1}",University of British Columbia,
Annie Vogel Ciernia,XAGfOIIAAAAJ,44,1975,1520,19,19,25,23,,{'Brian MacVicar': 1},"University of British Columbia, Vancouver",
Brian MacVicar,Sx3420cAAAAJ,218,22220,8510,78,42,140,86,,"{'Tim H. Murphy': 3, 'Jeffrey LeDue': 13, 'Annie Vogel Ciernia': 1, 'Snutch': 9, 'Anthony Phillips': 1, 'Shernaz Bamji': 1, 'Yu Tian Wang': 1, 'Silke Appel-Cresswell': 1, 'Leigh Anne Swayne': 1, 'Fabio MV Rossi': 1, 'Ian Mackenzie': 1}","Professor, University of British Columbia",
Fidel Vila-Rodriguez,VynxFpEAAAAJ,264,5713,4585,36,35,94,89,,"{'Z. Jane Wang': 1, 'Sophia Frangou': 6, 'Jason S. Snyder': 2, 'Silke Appel-Cresswell': 1, 'Ian Mackenzie': 1, 'Todd S. Woodward': 1}",Assistant Professor; University of British Columbia,
Shernaz Bamji,C832lNEAAAAJ,61,5327,1686,33,24,38,36,,"{'Brian MacVicar': 1, 'Ian Mackenzie': 1, 'Lynn A Raymond': 2, 'Snutch': 1, 'Paul Pavlidis': 2, 'Kurt Haas': 6, 'Rankin Catharine H': 2, 'Anthony Phillips': 1}","Professor, University of British Columbia",
Lara Boyd,yutn3mwAAAAJ,357,15164,9442,65,50,161,143,,"{'Martin J. McKeown': 2, 'A Jon Stoessl OR jon Stoessl': 2, 'Silke Appel-Cresswell': 1, 'Vesna Sossi': 2, 'Todd S. Woodward': 3, 'Liisa Galea': 1}","Professor, University of British Columbia",
Paul Pavlidis,ataejQQAAAAJ,245,17691,6535,70,47,139,115,,"{'Shernaz Bamji': 2, 'Kurt Haas': 6, 'Rankin Catharine H': 6, 'Snutch': 1, 'Sophia Frangou': 1, 'Vesna Sossi': 1}","Professor of Psychiatry, University of British Columbia",
Martin J. McKeown,cBAT2tQAAAAJ,369,16514,6185,48,35,150,105,,"{'Lara Boyd': 2, 'A Jon Stoessl OR jon Stoessl': 29, 'Silke Appel-Cresswell': 33, 'Vesna Sossi': 21, 'Z. Jane Wang': 76, 'Brian D. Fisher': 1, 'Peyman Servati': 1, 'Catharine A. Winstanley': 1}","Professor and Head, Division of Neurology, University of British Columbia",
A Jon Stoessl OR jon Stoessl,KnhWIqwAAAAJ,449,30804,10196,78,47,235,147,,"{'Lara Boyd': 2, 'Martin J. McKeown': 29, 'Silke Appel-Cresswell': 25, 'Vesna Sossi': 134, 'Catharine A. Winstanley': 3, 'Anthony Phillips': 2, 'Ian Mackenzie': 6, 'Snutch': 1}",University of British Columbia,
Peter Cripton,hm6fJTkAAAAJ,284,7717,3835,46,32,115,90,,"{'Tim H. Murphy': 1, 'Mark S. Cembrowski': 1, 'Jeffrey LeDue': 1, 'Wolfram Tetzlaff': 14, 'Catharine A. Winstanley': 1}","Professor of Biomedical Engineering, University of British Columbia",
Jason S. Snyder,B6Fe4-4AAAAJ,39,6042,2320,21,19,28,28,,{'Fidel Vila-Rodriguez': 2},"Associate Professor, University of British Columbia",
Wolfram Tetzlaff,HgUvr-IAAAAJ,315,24506,7051,80,44,187,118,,"{'Tim H. Murphy': 2, 'Peter Cripton': 14, 'Fabio MV Rossi': 1, 'A. Jane Roskams': 9, 'Silke Appel-Cresswell': 1}",Professor and Principle Investigator ICORD (International Collaboration on Repair Discoveries,
Anthony Phillips,cHBZKa4AAAAJ,428,37097,8377,103,41,287,126,,"{'Brian MacVicar': 1, 'Shernaz Bamji': 1, 'A Jon Stoessl OR jon Stoessl': 2, 'Vesna Sossi': 2, 'Jeremy K Seamans': 15, 'Yu Tian Wang': 12, 'Todd S. Woodward': 1, 'Catharine A. Winstanley': 1, 'Snutch': 3}",University of British Columbia,
Catharine A. Winstanley,62UFkZcAAAAJ,184,11259,4701,47,38,95,89,,"{'Martin J. McKeown': 1, 'A Jon Stoessl OR jon Stoessl': 3, 'Silke Appel-Cresswell': 1, 'Peter Cripton': 1, 'Anthony Phillips': 1, 'Vesna Sossi': 3, 'Jeremy K Seamans': 1}",University of British Columbia,
Yu Tian Wang,oUJOq0EAAAAJ,200,41976,15755,78,56,149,123,,"{'Tim H. Murphy': 4, 'Jeffrey LeDue': 2, 'Brian MacVicar': 1, 'Anthony Phillips': 12, 'Jeremy K Seamans': 1, 'Lynn A Raymond': 3, 'Rankin Catharine H': 1}",University of British Columbia,
